country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
KOR,South Korea,Goesan,WRI1000226,2.8,36.8108,127.7947,Hydro,,,,1957.0,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,CARMA,1048950,,,,,,,,,,7.79,7.27,6.87,7.29,7.27,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
KOR,South Korea,Hanbit,WRI1000217,5900.0,35.4105,126.4175,Nuclear,,,,,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/plant-status/,GEODB,1021196,,,,,,,,,,,,,,37484.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
KOR,South Korea,Hanul,WRI1000218,5900.0,37.0931,129.3830,Nuclear,,,,,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/plant-status/,GEODB,1021187,,,,,,,,,,,,,,37484.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
KOR,South Korea,Hwacheon,WRI1000219,108.0,38.1174,127.7785,Hydro,,,,1944.0,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,WRI,1021152,,,,,,,,,,337.12,193.18,190.04,252.94,213.46,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
KOR,South Korea,Kori,WRI1000213,3137.0,35.3199,129.2948,Nuclear,,,,,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/plant-status/,GEODB,1021160,,,,,,,,,,,,,,19930.46,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
KOR,South Korea,Paldang,WRI1000222,120.0,37.5286,127.2803,Hydro,,,,1973.0,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,WRI,1021168,,,,,,,,,,355.16,205.75,199.93,224.96,272.31,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
KOR,South Korea,Shin-Kori,WRI1000214,3340.0,35.3271,129.3017,Nuclear,,,,,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/plant-status/,GEODB,1045325,,,,,,,,,,,,,,21220.19,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
KOR,South Korea,Shin-Wolsong,WRI1000216,2000.0,35.7221,129.4786,Nuclear,,,,2012.0,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/plant-status/,GEODB,1021134,,,,,,,,,,,,,,12706.70,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
KOR,South Korea,Uiam,WRI1000221,48.0,37.8360,127.6779,Hydro,,,,1967.0,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/hydroelectric-plants/,WRI,1021186,,,,,,,,,,159.24,96.35,84.22,97.54,98.28,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
KOR,South Korea,Wolsong,WRI1000215,2799.0,35.7111,129.4743,Nuclear,,,,,Korea Hydro and Nuclear,KHNP,https://cms.khnp.co.kr/eng/plant-status/,GEODB,1021190,,,,,,,,,,,,,,17783.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
KOR,South Korea,Yonggwang,WRI1029911,3.0,35.4190,126.4286,Solar,,,,,Korea Hydro and Nuclear Power Company,CDM,https://cdm.unfccc.int/Projects/DB/KEMCO1226641337.52/view,WRI,1067313,,,,,,,,,,5.40,5.10,5.35,5.29,5.39,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ESP,Spain,ASCO GR,WRI1006213,1990.5,41.2008,0.5679,Nuclear,,,,1983.0,ENDESA GENERACION S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1011921,,,,15802.182,16029.262,15241.801,,,JRC-PPDB-OPEN,,,,,15902.24,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,CN ALMARAZ 1,WRI1006358,2016.9,39.8070,-5.6986,Nuclear,,,,1984.0,IBERDROLA GENERACION  S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1011920,,,,16026.973,15053.359,16343.997,,,JRC-PPDB-OPEN,,,,,16113.15,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,CN COFRENTES,WRI1006359,1063.94,39.2134,-1.0509,Nuclear,,,,1985.0,IBERDROLA GENERACION NUCLEAR  S.A.U.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1019116,,,,7404.213,9152.878,7050.111,,,JRC-PPDB-OPEN,,,,,8499.89,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,TRILLO,WRI1007993,1003.41,40.7016,-2.6227,Nuclear,,,,1988.0,IBERDROLA GENERACION  S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1011922,,,,7902.91,7979.67,7982.665,,,JRC-PPDB-OPEN,,,,,8016.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,VANDELLOS GR 2,WRI1023569,1045.31,40.9511,0.8662,Nuclear,,,,1987.0,ENDESA GENERACION S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,1011923,,,,7452.839,7620.497,8994.289,,,JRC-PPDB-OPEN,,,,,8351.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SWE,Sweden,Forsmark,WRI1002098,3227.0,60.4028,18.1744,Nuclear,,,,,65% Vattenfall; E.ON 8.5%; Mellansvensk Kraftgrupp 25.5%,Vattenfall,http://powerplants.vattenfall.com/forsmark,GEODB,1032759,,,,,24001.087,24576.012,,,JRC-PPDB-OPEN,,,,,22956.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SWE,Sweden,Oskarshamn,WRI1002168,2603.0,57.4130,16.6683,Nuclear,,,,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryStatisticsLandingPage.aspx,GEODB,1024770,,,,,13550.964,11073.695,,,JRC-PPDB-OPEN,,,,,18517.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
